id,loan_status,probability
58908,0,0.0021
58909,0,0.028
58910,0,0.0005
58911,0,0.0273
58912,0,1e-04
58913,0,0.1141
58914,0,0.0241
58915,0,0.0038
58916,0,0.0107
58917,0,0.0913
58918,0,0.0059
58919,0,0.0016
58920,0,0.1483
58921,0,0.0022
58922,0,0.0253
58923,0,0.0009
58924,0,0.0431
58925,0,0.0044
58926,0,0.0556
58927,0,0.0097
58928,0,0.143
58929,0,0.0
58930,0,0.0146
58931,1,0.9623
58932,1,0.9757
58933,0,0.3062
58934,0,0.0194
58935,0,0.0166
58936,0,0.0364
58937,0,0.0157
58938,0,0.0058
58939,0,0.0005
58940,0,0.0024
58941,1,0.9934
58942,1,0.9658
58943,0,0.1794
58944,0,0.006
58945,0,0.0227
58946,0,0.0102
58947,0,0.0071
58948,0,0.0052
58949,0,0.0
58950,0,0.1296
58951,0,0.0171
58952,0,0.0094
58953,0,0.0012
58954,1,0.9966
58955,0,0.0117
58956,0,0.0017
58957,1,0.9968
58958,1,0.9998
58959,0,0.0107
58960,0,0.0124
58961,0,0.0038
58962,0,0.1131
58963,0,0.0454
58964,0,0.0076
58965,0,0.0101
58966,0,0.1117
58967,0,0.0005
58968,0,0.0086
58969,0,0.1864
58970,0,0.0004
58971,0,0.05
58972,0,0.0092
58973,1,0.9987
58974,0,0.1659
58975,0,0.0285
58976,0,0.0119
58977,0,0.0374
58978,0,0.0106
58979,0,0.0143
58980,0,0.0062
58981,0,0.0003
58982,0,0.0023
58983,0,0.0022
58984,0,0.0083
58985,0,0.0266
58986,1,0.9819
58987,0,0.0016
58988,0,0.0158
58989,0,0.0163
58990,0,0.0003
58991,0,0.0156
58992,0,0.0242
58993,0,0.0008
58994,0,0.0176
58995,1,0.999
58996,0,0.0167
58997,1,0.938
58998,0,0.0016
58999,0,0.0067
59000,0,0.0591
59001,0,0.2254
59002,0,0.1188
59003,0,0.0303
59004,0,0.0218
59005,0,0.0004
59006,0,0.0349
59007,0,0.0379
59008,1,0.9956
59009,0,0.0093
59010,0,0.009
59011,0,0.0054
59012,0,0.0402
59013,0,0.0012
59014,0,0.0048
59015,0,0.1546
59016,0,0.0024
59017,0,0.0104
59018,0,0.0309
59019,0,0.025
59020,0,0.003
59021,0,0.0131
59022,0,0.0568
59023,1,0.9724
59024,0,0.0282
59025,1,0.994
59026,0,0.0105
59027,0,0.0036
59028,0,0.0128
59029,0,0.0529
59030,0,0.0011
59031,1,0.7614
59032,1,0.863
59033,0,0.13
59034,0,0.0364
59035,0,0.0078
59036,0,0.0806
59037,0,0.0545
59038,0,0.0036
59039,0,0.0115
59040,0,0.0028
59041,0,0.012
59042,0,0.0447
59043,1,0.9693
59044,0,0.0007
59045,0,0.0046
59046,0,0.2155
59047,0,0.2974
59048,0,0.008
59049,0,0.0186
59050,0,1e-04
59051,0,0.0211
59052,0,0.0013
59053,0,0.0208
59054,0,0.0104
59055,0,0.02
59056,0,0.0027
59057,1,0.9869
59058,0,0.0006
59059,0,0.0883
59060,0,0.0005
59061,0,0.0025
59062,0,0.0132
59063,0,0.0003
59064,0,0.0078
59065,0,0.0003
59066,0,0.0125
59067,0,0.0005
59068,0,0.0099
59069,0,0.0057
59070,0,0.0083
59071,0,0.1761
59072,0,0.0094
59073,1,0.9815
59074,0,0.0056
59075,0,0.0087
59076,0,0.0458
59077,1,0.9975
59078,0,0.0122
59079,0,0.0485
59080,0,0.0011
59081,0,0.0069
59082,0,0.0363
59083,0,0.0075
59084,0,1e-04
59085,0,0.0301
59086,0,0.419
59087,0,0.2688
59088,0,0.0225
59089,0,0.0185
59090,0,0.0159
59091,0,0.0002
59092,0,0.1439
59093,0,0.0351
59094,0,0.0045
59095,0,0.0
59096,1,0.9858
59097,0,0.0655
59098,0,0.0132
59099,0,0.0061
59100,0,0.0007
59101,0,0.0064
59102,0,0.0577
59103,0,0.0184
59104,0,0.0
59105,0,0.0322
59106,0,1e-04
59107,0,0.0336
59108,0,0.0307
59109,0,0.0482
59110,0,0.0121
59111,0,0.0014
59112,0,0.0174
59113,1,0.9659
59114,0,0.0427
59115,0,0.2634
59116,0,0.0002
59117,0,0.0057
59118,0,0.0297
59119,0,0.0052
59120,0,0.0002
59121,0,0.0026
59122,0,0.0156
59123,1,0.9978
59124,1,0.9406
59125,0,0.0348
59126,1,0.8163
59127,0,0.007
59128,0,0.0058
59129,0,0.0049
59130,0,0.0485
59131,0,0.0355
59132,0,0.1746
59133,1,0.9353
59134,0,0.021
59135,0,0.0
59136,0,0.0007
59137,0,0.0326
59138,0,0.028
59139,0,0.0014
59140,0,0.0233
59141,1,0.9677
59142,0,0.0928
59143,0,0.0091
59144,0,0.0075
59145,0,0.0398
59146,0,0.0525
59147,0,0.0084
59148,0,0.0147
59149,0,0.0041
59150,0,0.0041
59151,0,0.0313
59152,0,0.0064
59153,0,0.0024
59154,0,0.0499
59155,0,0.1554
59156,0,0.0687
59157,0,0.0299
59158,0,0.0154
59159,0,0.0014
59160,0,0.0433
59161,0,0.0034
59162,0,0.0019
59163,0,0.0066
59164,0,0.008
59165,0,0.067
59166,0,0.0002
59167,0,0.0052
59168,0,0.1209
59169,1,0.9843
59170,0,0.027
59171,0,0.0099
59172,0,0.2891
59173,0,0.0004
59174,0,0.0014
59175,0,0.0015
59176,0,0.0131
59177,0,0.003
59178,0,0.0003
59179,0,0.0033
59180,0,0.2414
59181,0,0.2489
59182,1,0.9949
59183,0,0.0427
59184,0,0.0401
59185,0,0.2593
59186,0,0.0015
59187,0,0.0017
59188,0,0.0229
59189,0,0.0095
59190,0,0.0003
59191,0,0.0036
59192,0,0.4761
59193,0,0.0022
59194,0,0.0631
59195,0,0.0271
59196,0,0.0051
59197,0,0.0097
59198,0,0.0373
59199,0,0.0015
59200,1,0.9999
59201,0,0.0023
59202,0,0.0024
59203,0,0.3978
59204,0,0.0572
59205,0,0.0012
59206,0,0.0017
59207,0,0.0213
59208,0,0.0015
59209,0,0.003
59210,0,0.0098
59211,0,0.2671
59212,0,0.0257
59213,0,0.023
59214,0,0.01
59215,0,0.0014
59216,0,0.0127
59217,0,1e-04
59218,0,0.0028
59219,0,0.0026
59220,1,0.9268
59221,1,0.9789
59222,0,0.0097
59223,0,0.0165
59224,0,0.1017
59225,0,0.0028
59226,0,0.0008
59227,0,0.0782
59228,0,0.1099
59229,0,1e-04
59230,0,0.001
59231,0,0.0008
59232,0,0.0974
59233,0,0.004
59234,0,0.0104
59235,0,0.003
59236,0,0.0495
59237,0,0.1265
59238,0,0.0018
59239,1,0.5637
59240,0,0.0017
59241,0,0.0092
59242,0,0.0391
59243,1,0.9893
59244,0,0.0097
59245,1,0.9342
59246,0,0.0017
59247,0,0.0448
59248,0,0.0004
59249,0,0.0716
59250,0,0.2822
59251,0,0.0417
59252,0,0.0056
59253,0,0.099
59254,0,0.0344
59255,0,0.0012
59256,0,0.0
59257,1,0.9949
59258,0,0.0072
59259,1,0.9996
59260,0,0.0084
59261,0,0.0206
59262,0,0.1558
59263,0,1e-04
59264,0,0.3149
59265,1,0.8004
59266,0,0.0189
59267,1,0.8527
59268,0,0.0131
59269,0,0.002
59270,1,0.9955
59271,0,0.006
59272,1,0.9953
59273,0,0.0065
59274,0,0.0482
59275,0,0.0048
59276,0,0.0624
59277,0,0.008
59278,0,0.0508
59279,0,0.0014
59280,0,0.0003
59281,0,0.0159
59282,0,0.0017
59283,0,0.0031
59284,0,0.0003
59285,0,0.0159
59286,0,0.0441
59287,0,0.0027
59288,1,0.9985
59289,0,0.003
59290,0,0.0608
59291,0,0.0411
59292,0,0.0002
59293,0,0.0106
59294,1,0.988
59295,0,0.2439
59296,0,0.0025
59297,0,0.0245
59298,0,0.0137
59299,0,0.0064
59300,0,0.0576
59301,0,0.0114
59302,0,0.0558
59303,0,0.0269
59304,0,0.0353
59305,0,0.1213
59306,0,0.0077
59307,0,0.004
59308,0,0.0016
59309,0,0.0041
59310,0,0.002
59311,0,0.0435
59312,0,0.0382
59313,1,0.8534
59314,0,0.3499
59315,0,0.0021
59316,0,0.3732
59317,0,0.0144
59318,0,0.0062
59319,0,0.043
59320,0,0.0101
59321,0,0.1035
59322,0,0.0286
59323,0,0.0544
59324,1,0.9538
59325,0,0.0032
59326,0,0.0177
59327,0,0.0355
59328,0,0.0028
59329,0,0.0231
59330,0,0.1013
59331,0,0.037
59332,0,0.004
59333,0,1e-04
59334,0,0.0596
59335,0,0.0038
59336,0,0.0396
59337,0,0.0051
59338,0,0.1054
59339,1,0.5569
59340,1,0.5546
59341,0,0.1175
59342,0,0.1213
59343,0,0.0036
59344,0,0.0496
59345,0,0.0078
59346,0,0.0037
59347,0,0.0955
59348,0,0.0124
59349,0,0.0193
59350,0,0.0071
59351,0,0.0245
59352,0,0.0452
59353,1,0.963
59354,1,0.969
59355,0,0.0002
59356,0,0.0092
59357,0,0.0024
59358,0,0.0057
59359,0,0.0149
59360,1,0.99
59361,0,0.0041
59362,0,0.4647
59363,0,0.0003
59364,0,0.0003
59365,0,0.0014
59366,0,0.0004
59367,0,0.0294
59368,1,0.9435
59369,0,0.0284
59370,0,0.0026
59371,0,0.0002
59372,1,0.5915
59373,0,0.0434
59374,0,0.0025
59375,1,0.9864
59376,1,0.9618
59377,0,0.2667
59378,0,0.0494
59379,0,0.0384
59380,0,0.0262
59381,0,0.0023
59382,0,0.0684
59383,1,0.9831
59384,0,0.0109
59385,0,0.006
59386,0,0.0454
59387,1,0.9955
59388,0,0.1795
59389,0,0.0085
59390,0,0.0504
59391,0,0.0981
59392,0,0.3188
59393,1,0.8842
59394,1,0.9013
59395,0,0.1626
59396,0,0.0205
59397,0,0.0123
59398,0,0.0065
59399,0,0.0013
59400,0,0.017
59401,0,0.0157
59402,0,0.2032
59403,0,0.0125
59404,0,0.0014
59405,0,1e-04
59406,0,0.0073
59407,0,0.047
59408,0,0.1602
59409,0,0.0242
59410,0,1e-04
59411,0,0.0034
59412,0,0.0072
59413,0,0.0
59414,0,0.0351
59415,0,0.0082
59416,0,0.0017
59417,0,0.0047
59418,0,0.0019
59419,0,0.0003
59420,0,0.2177
59421,0,0.1557
59422,0,0.0356
59423,0,0.0093
59424,1,0.9557
59425,0,0.0233
59426,0,0.0028
59427,0,0.0035
59428,0,0.144
59429,0,0.0021
59430,0,0.0006
59431,0,0.0053
59432,0,0.0047
59433,0,0.0099
59434,0,0.0002
59435,0,0.0
59436,0,1e-04
59437,0,0.0011
59438,0,0.4603
59439,0,0.0534
59440,0,0.0005
59441,0,0.0124
59442,0,1e-04
59443,0,1e-04
59444,0,0.0239
59445,0,0.0628
59446,0,0.091
59447,0,0.0022
59448,0,0.0015
59449,0,0.0152
59450,0,0.0745
59451,1,0.9798
59452,0,0.0747
59453,0,0.0128
59454,0,0.0105
59455,0,0.031
59456,0,0.0549
59457,1,0.9943
59458,0,0.1363
59459,0,0.1279
59460,0,0.0373
59461,0,0.0008
59462,1,0.7415
59463,0,0.0003
59464,0,0.3565
59465,0,0.0696
59466,0,0.0795
59467,0,0.0249
59468,0,0.0003
59469,0,0.1104
59470,0,0.0004
59471,0,0.0013
59472,0,0.0877
59473,0,0.006
59474,0,0.0103
59475,0,0.0478
59476,0,0.0024
59477,0,0.0116
59478,0,0.0006
59479,0,0.0153
59480,0,0.0023
59481,0,0.0448
59482,1,0.9929
59483,0,0.001
59484,0,0.0021
59485,0,0.0278
59486,0,0.1146
59487,0,0.0863
59488,0,0.0264
59489,0,0.0429
59490,0,0.0018
59491,1,0.9873
59492,0,0.0072
59493,0,0.0104
59494,0,0.0002
59495,1,0.9745
59496,0,0.0041
59497,1,0.993
59498,0,0.0516
59499,0,0.0147
59500,1,0.9952
59501,0,0.0041
59502,1,0.9571
59503,0,0.2579
59504,0,0.0007
59505,0,0.1167
59506,0,0.0004
59507,0,0.0004
59508,0,0.0032
59509,0,0.0638
59510,0,0.0175
59511,0,0.0003
59512,0,0.0056
59513,0,0.084
59514,0,0.0024
59515,0,0.0108
59516,0,0.0058
59517,1,0.8779
59518,0,0.001
59519,0,0.0004
59520,0,0.0118
59521,0,0.0195
59522,0,0.0244
59523,0,0.0011
59524,0,0.0042
59525,1,0.9477
59526,0,0.2018
59527,0,0.0082
59528,0,0.0215
59529,0,0.0254
59530,1,0.9565
59531,0,0.0012
59532,0,0.0
59533,0,0.0409
59534,0,0.0166
59535,0,0.0293
59536,0,0.0308
59537,0,0.0062
59538,0,0.087
59539,0,0.0379
59540,1,0.8553
59541,0,0.0015
59542,0,0.0446
59543,0,0.0026
59544,0,0.1246
59545,0,0.0118
59546,0,0.0142
59547,0,0.0107
59548,0,0.0002
59549,0,0.053
59550,0,0.0032
59551,0,0.0165
59552,0,0.0024
59553,0,0.0119
59554,1,0.9269
59555,0,0.0076
59556,0,0.0002
59557,0,0.002
59558,0,0.031
59559,0,0.0101
59560,0,0.0007
59561,0,0.0023
59562,0,0.0645
59563,0,0.1509
59564,0,0.0425
59565,0,0.0058
59566,0,0.0042
59567,0,0.0072
59568,0,0.0006
59569,0,0.0019
59570,0,0.011
59571,0,0.018
59572,0,0.0029
59573,0,0.019
59574,1,0.9472
59575,0,0.0181
59576,0,0.0379
59577,0,0.0095
59578,1,0.9463
59579,0,0.004
59580,0,0.0052
59581,0,0.0129
59582,0,0.0024
59583,0,0.0082
59584,0,0.0002
59585,0,0.031
59586,0,0.023
59587,0,0.0185
59588,0,0.1282
59589,0,0.0527
59590,0,0.0011
59591,0,0.383
59592,0,0.0051
59593,0,0.0019
59594,0,0.1296
59595,0,0.0009
59596,0,0.0465
59597,1,0.9612
59598,0,0.0208
59599,0,0.0562
59600,1,0.9735
59601,0,0.0005
59602,0,0.1358
59603,0,0.0395
59604,0,0.0091
59605,0,0.002
59606,0,0.0155
59607,0,0.0796
59608,0,0.0081
59609,0,0.0014
59610,1,0.9858
59611,0,0.0073
59612,1,0.9841
59613,0,0.2618
59614,0,0.2012
59615,0,0.0073
59616,0,0.042
59617,0,0.0275
59618,0,0.1193
59619,0,0.0101
59620,0,0.0025
59621,0,0.0193
59622,0,0.0027
59623,0,0.0301
59624,0,0.1001
59625,0,0.1821
59626,0,0.0058
59627,0,0.0466
59628,0,0.0004
59629,0,1e-04
59630,0,0.0324
59631,0,0.0004
59632,0,0.0052
59633,0,0.007
59634,0,0.0026
59635,0,0.0014
59636,0,0.0655
59637,0,0.0081
59638,1,0.9981
59639,0,0.0029
59640,0,0.0041
59641,0,0.0291
59642,0,0.0003
59643,0,0.0547
59644,0,0.0284
59645,0,0.2499
59646,0,0.003
59647,1,0.9901
59648,0,0.0028
59649,0,0.0116
59650,0,0.0002
59651,0,0.0012
59652,0,0.003
59653,0,0.0015
59654,0,0.0277
59655,0,0.0245
59656,0,0.0965
59657,1,0.9414
59658,0,0.0009
59659,0,0.0188
59660,1,0.5865
59661,0,0.008
59662,1,0.8729
59663,0,0.037
59664,0,0.0675
59665,0,0.0085
59666,0,0.01
59667,0,0.0016
59668,0,0.005
59669,0,0.0029
59670,0,0.1215
59671,0,0.0009
59672,0,0.0027
59673,0,0.0023
59674,1,0.7919
59675,0,0.0
59676,0,0.2705
59677,1,0.9046
59678,0,0.0039
59679,0,0.0165
59680,0,0.0011
59681,0,0.0325
59682,0,0.04
59683,0,0.0002
59684,0,0.0138
59685,0,0.033
59686,0,0.3303
59687,0,0.0302
59688,0,0.01
59689,0,0.066
59690,0,0.0003
59691,0,0.0047
59692,0,0.0842
59693,0,0.0059
59694,0,0.0547
59695,0,0.0015
59696,1,0.9608
59697,0,0.003
59698,0,0.0059
59699,0,0.0059
59700,0,0.0114
59701,0,0.0017
59702,0,0.005
59703,0,0.0125
59704,0,0.0006
59705,0,0.0794
59706,0,0.0057
59707,0,0.0211
59708,0,0.4842
59709,0,0.0095
59710,0,0.0182
59711,0,0.0481
59712,0,0.0096
59713,0,0.0762
59714,1,0.9202
59715,1,0.836
59716,0,0.0094
59717,0,0.0006
59718,0,0.0563
59719,1,0.9919
59720,0,0.0013
59721,1,0.9006
59722,0,0.002
59723,0,0.009
59724,0,0.0869
59725,0,0.0213
59726,0,0.0141
59727,0,0.0476
59728,0,0.0014
59729,0,0.0
59730,0,0.1316
59731,0,0.0219
59732,0,0.0156
59733,0,0.0131
59734,0,0.0025
59735,0,0.0
59736,0,0.0977
59737,0,0.0011
59738,0,0.1209
59739,0,0.0209
59740,0,0.0082
59741,0,0.0062
59742,0,0.079
59743,0,0.012
59744,0,0.0504
59745,0,0.0509
59746,0,0.0205
59747,1,0.9999
59748,0,0.0148
59749,0,0.0048
59750,0,0.0645
59751,0,0.0045
59752,0,0.1469
59753,0,0.0018
59754,0,0.0008
59755,0,0.002
59756,0,0.0034
59757,0,0.0073
59758,0,0.0424
59759,0,0.011
59760,0,0.1592
59761,0,0.0049
59762,0,0.1346
59763,0,0.0
59764,0,0.0342
59765,0,0.0102
59766,0,0.0858
59767,0,0.0552
59768,0,0.0011
59769,0,0.004
59770,0,0.0703
59771,0,0.0058
59772,0,0.0074
59773,0,0.0012
59774,0,0.029
59775,0,0.1037
59776,0,0.196
59777,0,0.0299
59778,0,0.0004
59779,0,0.0194
59780,0,0.0002
59781,0,0.0041
59782,0,0.0122
59783,0,0.0139
59784,0,0.0014
59785,0,0.0016
59786,0,0.3819
59787,0,0.3609
59788,0,0.0082
59789,0,0.0431
59790,0,0.0116
59791,0,1e-04
59792,0,0.0093
59793,0,0.0125
59794,1,0.9721
59795,1,0.9728
59796,0,0.0022
59797,0,0.0455
59798,0,0.0008
59799,0,0.0022
59800,0,0.1835
59801,0,0.0039
59802,0,0.1982
59803,0,0.2843
59804,0,0.0205
59805,0,1e-04
59806,0,0.0026
59807,0,0.006
59808,0,0.0015
59809,0,0.0035
59810,0,0.0018
59811,0,0.0192
59812,0,0.0044
59813,0,0.0011
59814,0,0.0008
59815,0,0.0955
59816,0,0.0667
59817,0,0.0003
59818,1,0.7209
59819,0,0.1217
59820,0,0.0082
59821,0,0.0339
59822,0,0.0168
59823,0,0.0265
59824,0,0.028
59825,0,0.0014
59826,0,0.0207
59827,0,0.1509
59828,0,0.0042
59829,0,0.1053
59830,0,0.0122
59831,0,0.0099
59832,0,0.1844
59833,0,0.0509
59834,0,0.002
59835,0,0.0051
59836,0,0.0133
59837,0,0.0475
59838,0,0.1053
59839,0,0.0277
59840,0,0.0677
59841,1,0.9969
59842,0,0.0079
59843,0,0.0229
59844,0,0.2151
59845,0,0.0083
59846,0,0.0006
59847,0,0.0032
59848,0,0.0037
59849,0,1e-04
59850,1,0.9976
59851,0,1e-04
59852,0,0.0058
59853,0,0.039
59854,0,0.0004
59855,0,0.0011
59856,0,0.0017
59857,0,0.0501
59858,1,0.9938
59859,0,0.0823
59860,1,0.9637
59861,0,0.0041
59862,0,0.0027
59863,0,0.0028
59864,0,0.0053
59865,0,0.0134
59866,0,0.0118
59867,0,0.0942
59868,0,0.0013
59869,0,0.0083
59870,0,1e-04
59871,0,0.0003
59872,0,0.0019
59873,0,0.0033
59874,0,0.0032
59875,0,0.0084
59876,0,0.0003
59877,0,0.0354
59878,1,0.9945
59879,0,0.007
59880,1,0.9819
59881,0,1e-04
59882,0,0.0339
59883,0,0.0815
59884,0,0.0146
59885,0,0.0248
59886,0,0.0164
59887,1,0.8247
59888,0,0.0047
59889,0,0.0014
59890,0,0.0012
59891,1,0.825
59892,0,0.0165
59893,0,0.0034
59894,0,0.0122
59895,0,0.0109
59896,0,0.001
59897,0,0.0028
59898,0,0.0027
59899,0,0.0084
59900,0,0.0228
59901,1,0.8167
59902,0,0.0126
59903,0,0.0018
59904,0,0.0676
59905,0,0.0054
59906,0,0.1212
59907,0,0.0116
59908,0,0.0025
59909,0,0.0049
59910,0,0.0663
59911,0,0.0643
59912,0,0.0609
59913,0,1e-04
59914,0,0.0908
59915,0,0.0226
59916,0,0.0004
59917,0,0.0054
59918,0,0.0034
59919,0,0.0101
59920,0,0.0516
59921,0,0.0073
59922,0,0.0822
59923,0,0.0214
59924,0,0.0003
59925,1,0.9721
59926,0,0.0053
59927,0,0.0021
59928,0,0.0005
59929,0,1e-04
59930,0,0.0166
59931,0,0.0083
59932,0,0.0433
59933,0,0.0227
59934,0,0.0014
59935,0,0.0002
59936,0,0.0262
59937,0,0.0233
59938,0,0.113
59939,0,0.3732
59940,1,0.5253
59941,0,1e-04
59942,0,0.0009
59943,0,0.0075
59944,0,0.0339
59945,0,0.004
59946,0,0.0341
59947,0,0.0096
59948,0,0.0611
59949,1,0.9918
59950,0,0.0131
59951,0,0.056
59952,0,0.0025
59953,0,0.3053
59954,0,0.0073
59955,0,0.0
59956,0,0.0023
59957,0,0.1827
59958,0,0.155
59959,0,0.0113
59960,0,0.0004
59961,0,0.0099
59962,0,0.125
59963,0,0.0022
59964,0,0.0003
59965,0,0.0047
59966,1,0.9252
59967,0,0.0129
59968,0,0.0005
59969,0,0.0009
59970,0,0.0546
59971,1,0.9928
59972,1,0.8658
59973,0,0.0247
59974,0,0.0026
59975,0,0.02
59976,0,0.0013
59977,0,0.0339
59978,0,0.1165
59979,0,0.0337
59980,1,0.9889
59981,0,0.0028
59982,1,0.9692
59983,0,0.1947
59984,0,0.0018
59985,0,0.0283
59986,0,0.0571
59987,0,0.0039
59988,0,0.1185
59989,0,0.0048
59990,0,0.0361
59991,0,0.0155
59992,0,0.001
59993,0,0.0073
59994,0,0.0652
59995,1,0.9837
59996,0,0.0009
59997,0,0.0511
59998,0,0.099
59999,0,0.0037
60000,0,1e-04
60001,0,0.0124
60002,0,0.1544
60003,0,0.004
60004,0,0.0058
60005,0,0.0153
60006,0,0.0414
60007,0,0.019
60008,0,0.0163
60009,0,0.0087
60010,0,0.2258
60011,0,0.0108
60012,0,0.0495
60013,0,0.0009
60014,0,0.0165
60015,0,0.0321
60016,0,0.337
60017,0,0.0427
60018,0,0.0125
60019,1,0.9601
60020,0,0.0137
60021,0,0.0019
60022,0,0.3387
60023,0,0.0064
60024,1,0.9709
60025,0,0.0124
60026,0,0.0899
60027,1,0.6838
60028,0,0.0013
60029,1,0.9945
60030,1,0.9867
60031,0,0.104
60032,0,0.317
60033,0,0.0003
60034,0,0.0
60035,0,0.2929
60036,0,0.0007
60037,0,0.001
60038,0,0.0024
60039,0,0.0096
60040,0,0.0509
60041,0,0.033
60042,0,0.0082
60043,0,0.0326
60044,0,0.0872
60045,0,0.002
60046,0,0.2132
60047,0,0.046
60048,0,1e-04
60049,0,0.0194
60050,0,0.0314
60051,1,0.9953
60052,0,0.0041
60053,0,0.056
60054,0,0.0011
60055,0,0.011
60056,0,0.2889
60057,0,0.1857
60058,0,0.0157
